time,I,nv,c1,c2,ar,V_tot,kind,net_type
1,6.16,600,207.781,207.781,124,753,mean,dynamic
1,1.82,600,25.265,25.265,66,53.943,std,dynamic
2,8.5,600,268.844,268.844,124,753,mean,dynamic
2,3.29,600,20.591,20.591,66,53.943,std,dynamic
3,10.75,600,306.219,306.219,124,753,mean,dynamic
3,5.09,600,20.605,20.605,66,53.943,std,dynamic
4,12.69,600,325.781,325.781,124,753,mean,dynamic
4,6.96,600,17.989,17.989,66,53.943,std,dynamic
5,14.84,600,324.062,324.062,124,753,mean,dynamic
5,9.78,600,23.313,23.313,66,53.943,std,dynamic
6,18.56,600,327.844,327.844,124,753,mean,dynamic
6,12.62,600,21.587,21.587,66,53.943,std,dynamic
7,20.41,600,322.656,322.656,124,753,mean,dynamic
7,14.11,600,18.416,18.416,66,53.943,std,dynamic
8,24.94,600,319.469,319.469,124,753,mean,dynamic
8,17.88,600,19.18,19.18,66,53.943,std,dynamic
9,28.25,600,308.469,308.469,124,753,mean,dynamic
9,20.21,600,19.302,19.302,66,53.943,std,dynamic
10,30.12,600,301.719,301.719,124,753,mean,dynamic
10,20.86,600,22.032,22.032,66,53.943,std,dynamic
11,33.25,600,292.75,292.75,124,753,mean,dynamic
11,23.12,600,16.365,16.365,66,53.943,std,dynamic
12,34.91,600,288.75,288.75,124,753,mean,dynamic
12,24.11,600,19.138,19.138,66,53.943,std,dynamic
13,35.91,600,279.125,279.125,124,753,mean,dynamic
13,24.54,600,16.039,16.039,66,53.943,std,dynamic
14,36.12,600,270.25,270.25,124,753,mean,dynamic
14,24.41,600,16.378,16.378,66,53.943,std,dynamic
15,37.25,600,264.656,264.656,124,753,mean,dynamic
15,24.61,600,20.455,20.455,66,53.943,std,dynamic
16,37.19,600,253.438,253.438,124,753,mean,dynamic
16,24.03,600,18.68,18.68,66,53.943,std,dynamic
17,36.56,600,248.656,248.656,124,753,mean,dynamic
17,23.34,600,16.062,16.062,66,53.943,std,dynamic
18,35.19,600,237.469,237.469,124,753,mean,dynamic
18,22.82,600,17.699,17.699,66,53.943,std,dynamic
0,5.0,700,0.0,0.0,93,811,mean,static
0,0.0,700,0.0,0.0,59,72.821,std,static
1,5.75,700,344.375,344.375,93,811,mean,static
1,0.94,700,28.623,28.623,59,72.821,std,static
2,7.03,700,467.062,467.062,93,811,mean,static
2,3.04,700,24.032,24.032,59,72.821,std,static
3,8.47,700,524.531,524.531,93,811,mean,static
3,4.56,700,20.976,20.976,59,72.821,std,static
4,10.56,700,543.156,543.156,93,811,mean,static
4,6.71,700,16.361,16.361,59,72.821,std,static
5,12.06,700,546.219,546.219,93,811,mean,static
5,8.93,700,18.854,18.854,59,72.821,std,static
6,13.81,700,545.562,545.562,93,811,mean,static
6,10.57,700,17.084,17.084,59,72.821,std,static
7,16.16,700,525.75,525.75,93,811,mean,static
7,13.14,700,19.092,19.092,59,72.821,std,static
8,18.66,700,514.188,514.188,93,811,mean,static
8,14.76,700,19.962,19.962,59,72.821,std,static
9,21.09,700,492.125,492.125,93,811,mean,static
9,16.93,700,16.49,16.49,59,72.821,std,static
10,22.97,700,480.156,480.156,93,811,mean,static
10,18.53,700,21.906,21.906,59,72.821,std,static
11,23.66,700,460.875,460.875,93,811,mean,static
11,19.26,700,18.408,18.408,59,72.821,std,static
12,24.16,700,437.812,437.812,93,811,mean,static
12,19.81,700,22.342,22.342,59,72.821,std,static
13,25.72,700,424.094,424.094,93,811,mean,static
13,20.77,700,20.192,20.192,59,72.821,std,static
14,27.06,700,405.844,405.844,93,811,mean,static
14,21.11,700,26.644,26.644,59,72.821,std,static
15,27.38,700,390.156,390.156,93,811,mean,static
15,21.49,700,24.334,24.334,59,72.821,std,static
16,27.12,700,372.75,372.75,93,811,mean,static
16,21.3,700,28.776,28.776,59,72.821,std,static
17,25.91,700,358.906,358.906,93,811,mean,static
17,20.42,700,28.619,28.619,59,72.821,std,static
18,25.38,700,345.188,345.188,93,811,mean,static
18,19.16,700,29.013,29.013,59,72.821,std,static
0,5.0,700,0.0,0.0,62,745,mean,dynamic
0,0.0,700,0.0,0.0,52,98.312,std,dynamic
1,5.38,700,214.375,214.375,62,745,mean,dynamic
1,0.82,700,25.363,25.363,52,98.312,std,dynamic
2,5.88,700,282.625,282.625,62,745,mean,dynamic
2,1.67,700,23.754,23.754,52,98.312,std,dynamic
3,6.53,700,316.812,316.812,62,745,mean,dynamic
3,2.66,700,20.778,20.778,52,98.312,std,dynamic
4,6.84,700,329.906,329.906,62,745,mean,dynamic
4,3.14,700,25.14,25.14,52,98.312,std,dynamic
5,7.91,700,340.531,340.531,62,745,mean,dynamic
5,4.09,700,21.69,21.69,52,98.312,std,dynamic
6,8.81,700,338.562,338.562,62,745,mean,dynamic
6,5.07,700,23.618,23.618,52,98.312,std,dynamic
7,9.31,700,339.562,339.562,62,745,mean,dynamic
7,5.64,700,21.583,21.583,52,98.312,std,dynamic
8,10.59,700,331.125,331.125,62,745,mean,dynamic
8,7.74,700,19.516,19.516,52,98.312,std,dynamic
9,12.09,700,323.812,323.812,62,745,mean,dynamic
9,9.93,700,19.045,19.045,52,98.312,std,dynamic
10,13.28,700,317.469,317.469,62,745,mean,dynamic
10,12.13,700,16.242,16.242,52,98.312,std,dynamic
11,14.34,700,305.375,305.375,62,745,mean,dynamic
11,13.95,700,15.443,15.443,52,98.312,std,dynamic
12,15.16,700,300.812,300.812,62,745,mean,dynamic
12,15.49,700,20.978,20.978,52,98.312,std,dynamic
0,5.0,800,0.0,0.0,149,754,mean,static
0,0.0,800,0.0,0.0,60,87.272,std,static
1,6.44,800,355.344,355.344,149,754,mean,static
1,1.3,800,29.612,29.612,60,87.272,std,static
2,8.97,800,472.656,472.656,149,754,mean,static
2,3.08,800,20.254,20.254,60,87.272,std,static
3,12.06,800,532.594,532.594,149,754,mean,static
3,4.96,800,26.654,26.654,60,87.272,std,static
4,16.5,800,552.781,552.781,149,754,mean,static
4,7.61,800,21.649,21.649,60,87.272,std,static
5,20.47,800,560.281,560.281,149,754,mean,static
5,10.27,800,18.61,18.61,60,87.272,std,static
6,24.03,800,563.625,563.625,149,754,mean,static
6,12.05,800,16.374,16.374,60,87.272,std,static
7,29.28,800,548.781,548.781,149,754,mean,static
7,15.57,800,15.188,15.188,60,87.272,std,static
8,33.19,800,534.781,534.781,149,754,mean,static
8,16.7,800,18.643,18.643,60,87.272,std,static
9,36.94,800,519.188,519.188,149,754,mean,static
9,18.27,800,22.508,22.508,60,87.272,std,static
10,39.25,800,505.094,505.094,149,754,mean,static
10,19.97,800,19.858,19.858,60,87.272,std,static
11,40.31,800,484.219,484.219,149,754,mean,static
11,20.91,800,25.994,25.994,60,87.272,std,static
0,5.0,800,0.0,0.0,139,732,mean,dynamic
0,0.0,800,0.0,0.0,72,92.385,std,dynamic
1,6.12,800,210.969,210.969,139,732,mean,dynamic
1,1.71,800,22.203,22.203,72,92.385,std,dynamic
2,7.56,800,275.562,275.562,139,732,mean,dynamic
2,3.04,800,18.359,18.359,72,92.385,std,dynamic
3,10.66,800,318.0,318.0,139,732,mean,dynamic
3,5.5,800,21.294,21.294,72,92.385,std,dynamic
4,12.62,800,338.438,338.438,139,732,mean,dynamic
4,7.72,800,21.354,21.354,72,92.385,std,dynamic
5,16.12,800,345.281,345.281,139,732,mean,dynamic
5,11.2,800,17.75,17.75,72,92.385,std,dynamic
6,19.28,800,348.875,348.875,139,732,mean,dynamic
6,13.61,800,17.492,17.492,72,92.385,std,dynamic
7,21.5,800,347.969,347.969,139,732,mean,dynamic
7,15.63,800,18.865,18.865,72,92.385,std,dynamic
0,5.0,900,0.0,0.0,178,721,mean,static
0,0.0,900,0.0,0.0,69,53.868,std,static
1,6.38,900,336.625,336.625,178,721,mean,static
1,1.8,900,23.184,23.184,69,53.868,std,static
2,8.75,900,466.344,466.344,178,721,mean,static
2,3.31,900,19.868,19.868,69,53.868,std,static
3,11.75,900,532.938,532.938,178,721,mean,static
3,5.76,900,20.236,20.236,69,53.868,std,static
4,15.47,900,560.906,560.906,178,721,mean,static
4,8.24,900,19.777,19.777,69,53.868,std,static
5,18.5,900,571.062,571.062,178,721,mean,static
5,9.3,900,20.239,20.239,69,53.868,std,static
6,21.84,900,575.625,575.625,178,721,mean,static
6,11.48,900,13.181,13.181,69,53.868,std,static
7,26.44,900,570.312,570.312,178,721,mean,static
7,15.44,900,19.871,19.871,69,53.868,std,static
8,32.94,900,558.375,558.375,178,721,mean,static
8,18.45,900,19.327,19.327,69,53.868,std,static
9,37.72,900,548.156,548.156,178,721,mean,static
9,21.91,900,18.272,18.272,69,53.868,std,static
10,41.06,900,535.25,535.25,178,721,mean,static
10,23.19,900,21.528,21.528,69,53.868,std,static
11,44.16,900,517.75,517.75,178,721,mean,static
11,24.94,900,20.864,20.864,69,53.868,std,static
12,48.34,900,506.688,506.688,178,721,mean,static
12,26.63,900,21.13,21.13,69,53.868,std,static
13,50.5,900,491.844,491.844,178,721,mean,static
13,26.79,900,24.722,24.722,69,53.868,std,static
14,52.31,900,472.531,472.531,178,721,mean,static
14,26.49,900,26.827,26.827,69,53.868,std,static
15,54.66,900,462.719,462.719,178,721,mean,static
15,27.25,900,28.698,28.698,69,53.868,std,static
16,55.81,900,449.5,449.5,178,721,mean,static
16,27.13,900,30.958,30.958,69,53.868,std,static
17,55.47,900,437.062,437.062,178,721,mean,static
17,26.19,900,28.483,28.483,69,53.868,std,static
18,54.56,900,423.312,423.312,178,721,mean,static
18,25.18,900,31.681,31.681,69,53.868,std,static
19,50.72,900,416.281,416.281,178,721,mean,static
19,23.23,900,32.532,32.532,69,53.868,std,static
20,48.66,900,402.156,402.156,178,721,mean,static
20,21.37,900,33.497,33.497,69,53.868,std,static
21,45.97,900,394.188,394.188,178,721,mean,static
21,20.1,900,36.104,36.104,69,53.868,std,static
22,42.66,900,384.094,384.094,178,721,mean,static
22,18.59,900,35.622,35.622,69,53.868,std,static
23,39.28,900,376.312,376.312,178,721,mean,static
23,16.19,900,35.595,35.595,69,53.868,std,static
24,37.28,900,366.25,366.25,178,721,mean,static
24,15.43,900,41.538,41.538,69,53.868,std,static
25,35.0,900,359.312,359.312,178,721,mean,static
25,14.31,900,38.325,38.325,69,53.868,std,static
26,33.06,900,349.531,349.531,178,721,mean,static
26,13.56,900,40.095,40.095,69,53.868,std,static
27,30.78,900,342.594,342.594,178,721,mean,static
27,11.92,900,42.479,42.479,69,53.868,std,static
28,27.88,900,336.406,336.406,178,721,mean,static
28,10.44,900,43.544,43.544,69,53.868,std,static
29,25.97,900,330.812,330.812,178,721,mean,static
29,10.11,900,42.416,42.416,69,53.868,std,static
30,23.66,900,322.156,322.156,178,721,mean,static
30,9.68,900,42.017,42.017,69,53.868,std,static
31,21.75,900,317.688,317.688,178,721,mean,static
31,8.63,900,42.889,42.889,69,53.868,std,static
32,19.25,900,308.438,308.438,178,721,mean,static
32,8.3,900,43.989,43.989,69,53.868,std,static
0,5.0,900,0.0,0.0,189,726,mean,dynamic
0,0.0,900,0.0,0.0,54,37.04,std,dynamic
1,6.66,900,208.062,208.062,189,726,mean,dynamic
1,1.71,900,21.287,21.287,54,37.04,std,dynamic
2,8.62,900,273.875,273.875,189,726,mean,dynamic
2,3.28,900,22.151,22.151,54,37.04,std,dynamic
3,11.5,900,316.281,316.281,189,726,mean,dynamic
3,4.87,900,24.835,24.835,54,37.04,std,dynamic
4,13.97,900,336.0,336.0,189,726,mean,dynamic
4,6.32,900,22.336,22.336,54,37.04,std,dynamic
5,19.06,900,345.062,345.062,189,726,mean,dynamic
5,9.02,900,25.161,25.161,54,37.04,std,dynamic
6,23.94,900,346.094,346.094,189,726,mean,dynamic
6,11.6,900,20.398,20.398,54,37.04,std,dynamic
7,27.0,900,350.688,350.688,189,726,mean,dynamic
7,12.55,900,17.905,17.905,54,37.04,std,dynamic
